序 号,出货条码,品名,规格,单位,:销售数量,售价,:销售金额,:毛利,:毛利率％,:成本金额,商品库存,最新货商
421,154368,冬瓜,,公斤,153.73,4.4,678.05,678.04,100,0,-4080.375,5073
422,154369,南瓜,,公斤,109.18,5.4,589.63,589.58,100,0,-2815.843,5073
423,154370,菊花苗,,公斤,15.03,10,161.27,161.25,100,0,-83.19,5073
424,154373,白萝卜,,公斤,219,2.4,492.11,492.17,100,0,-7167.98,5073
425,154374,红萝卜,,公斤,269.66,3.56,880.95,881,100,0,-6533.864,5073
426,154375,沙姜,,公斤,2.11,20,42.12,42.12,100,0,-16.18,5073
427,154378,蒜头,,公斤,68.45,15.96,1092.48,1092.43,100,0,-2183.229,5073
428,154379,独蒜,,公斤,1,8.2,8.2,8.2,100,0,-1,5073
429,154380,土豆,,公斤,311.4,4.36,1357.67,1357.69,100,0,-4855.937,5073
430,154382,淮山,,公斤,71.3,8.4,598.83,598.89,100,0,-1113.865,5073
431,154383,红薯,,公斤,57.04,4.16,222.09,222.06,100,0,-2164.714,5073
432,154387,好人家精品蔬菜3,,盒,430,3.5,1505,1505,100,0,-10877,5073
433,154390,南瓜花,,扎,4,2.5,10,10,100,0,-8,5073
434,154391,洋葱,,公斤,53.9,3.6,194.05,194.04,100,0,-2342.677,5073
435,154396,金针菇,,公斤,39.31,18,635.14,635.2,100,0,-693.665,5073
436,154399,水果青瓜,,公斤,1,2,2,2,100,0,-11,5073
437,154401,板栗南瓜,,公斤,73.56,2.6,207.22,207.17,100,0,-163.312,5073
438,154402,荷兰小青瓜,,盒,229,3.8,961.9,961.9,100,0,-3833,5073
439,154405,茶树菇,,公斤,10.81,16,179.33,179.31,100,0,-139.871,5073
440,154406,小鸡菇,,公斤,59.47,16,856.59,856.72,100,0,-1195.887,5073
441,154407,杏苞菇,,公斤,5.68,18,102.3,102.31,100,0,-182.247,5073
442,154408,鲜磨菇,,公斤,7.64,14,106.96,106.96,100,0,-372.483,5073
443,154411,鲜香菇,,公斤,38.89,16,622.17,622.21,100,0,-980.514,5073
444,154413,鲜木耳,,公斤,41.5,8,373.51,373.48,100,0,-1242.535,5073
445,154422,好人家精品蔬菜4,,盒,668,2,1336,1336,100,0,-8991,5073
446,154447,大葱,,扎,214,2,428,428,100,0,-6466,5073
447,154450,南瓜苗,,扎,130,3.5,455,455,100,0,-817,5073
448,154457,豆角,,扎,113,3.5,395.5,395.5,100,0,-7400,5073
449,154496,琴华炖羊狗兔汤料40克,,包,10,3.3,33,33,100,0,-636,5051
450,154499,莴笋,,公斤,77.71,3,245,244.96,100,0,-1913.331,5073
451,154500,橄榄菜,,扎,4,3,12,12,100,0,-20,5073
452,154501,玉丝菜,,扎,72,3,216,216,100,0,-102,5073
453,154503,包菜,,公斤,91.54,2.36,200.36,200.39,100,0,-2166.506,5073
454,154599,黑甜糯玉米,,个,153,3.2,489.6,489.6,100,0,-1307,5073
455,154614,辣椒叶,,扎,73,1.5,109.5,109.5,100,0,-134,5073
456,154625,内脂豆腐,,份,226,2,452,452,100,0,-5409,5016
457,154626,去皮莴笋,,公斤,51.58,5,299.25,299.26,100,0,-1945.14,5073
458,154630,黄心红薯,,公斤,13.25,3.16,41.86,41.86,100,0,-622.557,5073
459,154631,菜心,,扎,1112,2.5,3221,3221,100,0,-32364,5073
460,154639,快菜心,,扎,355,3,1065,1065,100,0,-5099,5073
461,154644,黄肉生姜,,公斤,264.07,13,3432.84,3432.92,100,0,-6803.2,5073
462,154649,苦麦菜,,扎,382,2.2,849.7,849.7,100,0,-4511,5073
463,154651,毛豆,,公斤,1,2,2,2,100,0,-3,5073
464,154655,特价蔬菜1,,扎,5446,0.5,2723,2723,100,0,-74299,5073
465,154656,特价蔬菜2,,盒,20,0.8,16,16,100,0,-884,5073
466,154660,紫包菜,,公斤,35.27,3.76,132.59,132.6,100,0,-39.958,5073
467,154662,好人家净菜1,,盒,2,1.1,2.2,2.2,100,0,-315,5073
468,154663,好人家净菜2,,盒,507,1.5,760.5,760.5,100,0,-14583,5073
469,154664,好人家净菜3,,盒,20,1.8,36,36,100,0,-1288,5073
470,154668,一点红,,公斤,23.86,12,340,339.98,100,0,-258.28,5073
471,154852,鹏记B类酱菜,,公斤,37.45,8,299.58,299.56,100,0,-1069.735,5039
472,154853,鹏记C类酱菜,,公斤,9.89,10,98.89,98.89,100,0,-488.22,5039
473,154854,鹏记F类酱菜,,公斤,40.29,12,483.5,483.49,100,0,-319.531,5039
474,154856,瑶山野生蕨菜300g,,袋,3,2.8,8.4,8.4,100,0,-246,5039
475,155001,绿洋土鸡蛋,,公斤,36.46,12,437.54,437.54,100,0,-841.452,5086
476,155002,老虎林放养小鸡蛋,,公斤,27.16,12,325.96,325.94,100,0,-170.099,5086
477,155003,青皮鸭蛋,,公斤,26.33,13,342.33,342.29,100,0,-199.763,5086
478,155004,无铅松花皮蛋1*6,,盒,100,6,600,600,100,0,-1303,5086
479,155005,老虎林核酸营养蛋,,公斤,27.51,10.56,290.54,290.53,100,0,-771.446,5086
480,155006,海鸭咸蛋6个,,盒,26,6,156,156,100,0,-168,5086
481,155007,大明山营养蛋,,公斤,66.98,13,840.59,840.53,100,0,-540.113,5086
482,155008,老虎林小小土鸡蛋,,公斤,28.93,15,433.92,433.89,100,0,-477.034,5086
483,155009,老虎林营养土鸡蛋,,公斤,36.76,12,441.17,441.16,100,0,-454.817,5086
484,155010,叮当放养小小土蛋,,公斤,32.31,15.6,503.98,503.99,100,0,-597.79,5086
485,155011,本地放养小土鸭蛋,,公斤,0.79,13,10.22,10.22,100,0,-100.4,5086
486,155013,丁当土鸡蛋,,公斤,39.16,13,509.2,509.12,100,0,-615.576,5086
487,155015,天然海鸭蛋,,公斤,35.43,14,496.04,496.05,100,0,-574.144,5086
488,155016,本地小土鸡蛋,,公斤,65.28,12,752.74,752.74,100,0,-717.904,5086
489,155018,红皮鸡蛋（李）,,公斤,295.69,9.56,2826.76,2826.75,100,0,-9675.345,5088
490,155026,白皮鸡蛋（李）,,公斤,305.89,9.96,3046.66,3046.65,100,0,-5198.033,5088
491,155027,处理鸡蛋,,公斤,12.61,6,75.68,75.66,100,0,-185.211,5088
492,155091,琴华酸酸钙片120克,,盒,1,3.2,3.2,3.2,100,0,-17,5077
493,155116,琴华淮山,,公斤,0.52,63,32.76,32.76,100,0,-47.836,5051
